municipio,departamento,votos,candidato
El Encanto,Amazonas,50,Iván Duque
El Encanto,Amazonas,190,Gustavo Petro
El Encanto,Amazonas,14,Sergio Fajardo
El Encanto,Amazonas,39,Germán Vargas Lleras
El Encanto,Amazonas,8,Humberto de la Calle
El Encanto,Amazonas,1,Viviane Morales
El Encanto,Amazonas,1,Jorque Antonio Trujillo Sarmiento
La Chorrera,Amazonas,44,Iván Duque
La Chorrera,Amazonas,470,Gustavo Petro
La Chorrera,Amazonas,15,Sergio Fajardo
La Chorrera,Amazonas,19,Germán Vargas Lleras
La Chorrera,Amazonas,7,Humberto de la Calle
La Chorrera,Amazonas,0,Viviane Morales
La Chorrera,Amazonas,0,Jorque Antonio Trujillo Sarmiento
La Pedrera,Amazonas,21,Iván Duque
La Pedrera,Amazonas,150,Gustavo Petro
La Pedrera,Amazonas,20,Sergio Fajardo
La Pedrera,Amazonas,29,Germán Vargas Lleras
La Pedrera,Amazonas,9,Humberto de la Calle
La Pedrera,Amazonas,0,Viviane Morales
La Pedrera,Amazonas,0,Jorque Antonio Trujillo Sarmiento
La Victoria,Amazonas,2,Iván Duque
La Victoria,Amazonas,14,Gustavo Petro
La Victoria,Amazonas,1,Sergio Fajardo
La Victoria,Amazonas,0,Germán Vargas Lleras
La Victoria,Amazonas,1,Humberto de la Calle
La Victoria,Amazonas,0,Viviane Morales
La Victoria,Amazonas,0,Jorque Antonio Trujillo Sarmiento
Leticia,Amazonas,6154,Iván Duque
Leticia,Amazonas,3821,Gustavo Petro
Leticia,Amazonas,2523,Sergio Fajardo
Leticia,Amazonas,853,Germán Vargas Lleras
Leticia,Amazonas,652,Humberto de la Calle
Leticia,Amazonas,43,Viviane Morales
Leticia,Amazonas,73,Jorque Antonio Trujillo Sarmiento
Miriti Parana,Amazonas,4,Iván Duque
Miriti Parana,Amazonas,59,Gustavo Petro
Miriti Parana,Amazonas,2,Sergio Fajardo
Miriti Parana,Amazonas,5,Germán Vargas Lleras
Miriti Parana,Amazonas,7,Humberto de la Calle
Miriti Parana,Amazonas,0,Viviane Morales
Miriti Parana,Amazonas,0,Jorque Antonio Trujillo Sarmiento
Puerto Alegria,Amazonas,34,Iván Duque
Puerto Alegria,Amazonas,31,Gustavo Petro
Puerto Alegria,Amazonas,6,Sergio Fajardo
Puerto Alegria,Amazonas,1,Germán Vargas Lleras
Puerto Alegria,Amazonas,1,Humberto de la Calle
Puerto Alegria,Amazonas,0,Viviane Morales
Puerto Alegria,Amazonas,0,Jorque Antonio Trujillo Sarmiento
Puerto Arica,Amazonas,32,Iván Duque
Puerto Arica,Amazonas,98,Gustavo Petro
Puerto Arica,Amazonas,4,Sergio Fajardo
Puerto Arica,Amazonas,6,Germán Vargas Lleras
